INDEX,YEAR,MN,HR,DBT,DPT,RH
42701,1969,02,12,16,0.7,035
42701,1969,02,12,20,5.3,038
42701,1969,02,12,19,7.9,048
42701,1969,02,12,17.9,9,056
42701,1969,02,12,17,12.5,075
42701,1969,02,12,15,2.2,042
42701,1969,02,12,15.2,3.1,044
42701,1969,02,12,16.4,0.8,035
42701,1969,02,12,17,-3.2,025
42701,1969,02,12,16.8,0.8,034
42701,1969,02,12,16.4,1.4,036
42701,1969,02,12,17.6,4.4,042
42701,1969,02,12,18.6,3.7,037
42701,1969,02,12,19.6,11.3,059
42701,1969,02,12,18.4,14.4,078
42701,1969,02,12,19,14.7,076
42701,1969,02,12,22,15.6,067
42701,1969,02,12,24,15,057
42701,1969,02,12,17.7,6.8,049
42701,1969,02,12,16.4,6.8,053
42701,1969,02,12,16,4.8,047
42701,1969,02,12,17.4,4.6,043
42701,1969,02,12,21,5.8,037
42701,1969,02,12,21,8.2,044
42701,1969,02,12,21.6,8.6,043
42701,1969,02,12,22.8,10.3,045
42701,1969,02,12,22,17.7,076
42701,1969,02,12,23,18.4,075
42701,1969,02,36,26.4,-0.4,017
42701,1969,02,36,27.4,5.1,024
42701,1969,02,36,27.2,8.6,031
42701,1969,02,36,25.4,13.3,047
42701,1969,02,36,22,12.2,054
42701,1969,02,36,22.4,6.8,037
42701,1969,02,36,26.4,8.9,033
42701,1969,02,36,25.4,-6.7,011
42701,1969,02,36,24,-3.6,016
42701,1969,02,36,24.6,-1.3,018
42701,1969,02,36,25.6,-0.6,018
42701,1969,02,36,27.4,1.8,019
42701,1969,02,36,27.8,10,033
42701,1969,02,36,22.8,15.8,065
42701,1969,02,36,26.8,13.1,043
42701,1969,02,36,28.4,11.8,036
42701,1969,02,36,29,9.9,030
42701,1969,02,36,29.4,13.2,037
42701,1969,02,36,24.4,8.3,036
42701,1969,02,36,22.4,7.8,039
42701,1969,02,36,26.2,6.4,028
42701,1969,02,36,27.4,1.8,019
42701,1969,02,36,27,1.7,019
42701,1969,02,36,30.2,10.3,029
42701,1969,02,36,28,15.8,047
42701,1969,02,36,31,16.6,042
42701,1969,02,36,30.4,20.2,054
42701,1969,02,36,30.6,13.2,035
42701,1969,02,48,25.4,1.2,021
42701,1969,02,48,24.4,5.7,030
42701,1969,02,48,24,9.2,039
42701,1969,02,48,23.6,13.4,053
42701,1969,02,48,22,13,057
42701,1969,02,48,21.4,5.3,035
42701,1969,02,48,23.8,7.9,036
42701,1969,02,48,23,-2.5,018
42701,1969,02,48,23,-2.5,018
42701,1969,02,48,23.2,-2.8,017
42701,1969,02,48,24,-1.8,018
42701,1969,02,48,25.4,4.5,026
42701,1969,02,48,26.2,9.5,035
42701,1969,02,48,20,14,069
42701,1969,02,48,26.6,11,038
42701,1969,02,48,26.8,13.1,043
42701,1969,02,48,28,13.4,041
42701,1969,02,48,26.4,13.3,044
42701,1969,02,48,22.4,7.8,039
42701,1969,02,48,21.2,6.6,039
42701,1969,02,48,25,6.7,031
42701,1969,02,48,24.4,6.8,032
42701,1969,02,48,26.2,8.5,033
